index,order,date,poll,area,Clinton,Sanders,Sanders_up,c_avg,s_avg,diff_avg,c_loss,s_loss
30,30,May 3,PPP (D),West Virginia,-27.0,-21.0,6.0,2.8064516129,9.74193548387,6.93548387097,10,4
29,29,May 4,CNN/ORC,General Election,13.0,16.0,3.0,2.8064516129,9.74193548387,6.93548387097,10,4
28,28,May 5,Civitas (R),North Carolina,9.0,18.0,9.0,2.8064516129,9.74193548387,6.93548387097,10,4
27,26,May 9,Dartmouth,New Hampshire,5.0,21.0,16.0,2.8064516129,9.74193548387,6.93548387097,10,4
26,25,May 10,Quinnipiac,Pennsylvania,1.0,6.0,5.0,2.8064516129,9.74193548387,6.93548387097,10,4
25,25,May 10,Quinnipiac,Ohio,-4.0,2.0,6.0,2.8064516129,9.74193548387,6.93548387097,10,4
24,25,May 10,Quinnipiac,Florida,1.0,2.0,1.0,2.8064516129,9.74193548387,6.93548387097,10,4
23,25,May 10,PPP (D),General Election,6.0,11.0,5.0,2.8064516129,9.74193548387,6.93548387097,10,4
22,24,May 11,JMC Analytics,Louisiana,-16.0,-23.0,-7.0,2.8064516129,9.74193548387,6.93548387097,10,4
21,21,May 15,Atlanta Journal-Constitution,Georgia,-4.0,5.0,9.0,2.8064516129,9.74193548387,6.93548387097,10,4
20,20,May 16,UtahPolicy/Dan Jones,Utah,-13.0,-6.0,7.0,2.8064516129,9.74193548387,6.93548387097,10,4
19,19,May 17,PPP (D),Arizona,-4.0,1.0,5.0,2.8064516129,9.74193548387,6.93548387097,10,4
18,18,May 18,WBUR/MassINC,New Hampshire,2.0,16.0,14.0,2.8064516129,9.74193548387,6.93548387097,10,4
16,17,May 19,FOX News,General Election,-3.0,4.0,7.0,2.8064516129,9.74193548387,6.93548387097,10,4
17,17,May 19,Quinnipiac,New Jersey,7.0,12.0,5.0,2.8064516129,9.74193548387,6.93548387097,10,4
15,17,May 19,CBS News/NY Times,General Election,6.0,13.0,7.0,2.8064516129,9.74193548387,6.93548387097,10,4
14,16,May 22,NBC News/Wall St. Jrnl,General Election,3.0,15.0,12.0,2.8064516129,9.74193548387,6.93548387097,10,4
13,16,May 22,CBS News/YouGov,Ohio,5.0,9.0,4.0,2.8064516129,9.74193548387,6.93548387097,10,4
12,14,May 25,PPP (D),North Carolina,-4.0,4.0,8.0,2.8064516129,9.74193548387,6.93548387097,10,4
11,14,May 25,Fairleigh Dickinson,New Jersey,11.0,24.0,13.0,2.8064516129,9.74193548387,6.93548387097,10,4
10,13,May 26,PPIC,California,10.0,17.0,7.0,2.8064516129,9.74193548387,6.93548387097,10,4
9,9,June 1,Quinnipiac,General Election,4.0,9.0,5.0,2.8064516129,9.74193548387,6.93548387097,10,4
8,9,June 1,PPP (D),Georgia,-9.0,-8.0,1.0,2.8064516129,9.74193548387,6.93548387097,10,4
7,9,June 1,NBC/WSJ/Marist,California,24.0,34.0,10.0,2.8064516129,9.74193548387,6.93548387097,10,4
6,9,June 1,Detroit News/WDIV-TV,Michigan,4.0,19.0,15.0,2.8064516129,9.74193548387,6.93548387097,10,4
5,8,June 2,Field,California,19.0,29.0,10.0,2.8064516129,9.74193548387,6.93548387097,10,4
4,6,June 5,CBS News/YouGov,New Jersey,15.0,18.0,3.0,2.8064516129,9.74193548387,6.93548387097,10,4
3,6,June 5,CBS News/YouGov,California,15.0,23.0,8.0,2.8064516129,9.74193548387,6.93548387097,10,4
2,5,June 6,IBD/TIPP,General Election,5.0,10.0,5.0,2.8064516129,9.74193548387,6.93548387097,10,4
1,4,June 7,Quinnipiac,Connecticut,7.0,19.0,12.0,2.8064516129,9.74193548387,6.93548387097,10,4
0,4,June 7,PPP (D),Florida,-1.0,3.0,4.0,2.8064516129,9.74193548387,6.93548387097,10,4
